workers,scenario,epoch,total_time_s,throughput_mb_s,gpu_compute_s,data_wait_s,gpu_starvation_percent,status
0,Scenario A,1,15.1,39.82,3.08,11.95,79.2,OK
0,Scenario B,1,49.31,32.61,7.37,41.77,84.7,OK
0,Scenario C,1,14.57,41.27,2.69,11.81,81.1,OK
2,Scenario A,1,6.45,93.24,2.65,3.67,56.9,OK
2,Scenario A,2,6.24,96.4,2.29,3.8,61.0,OK
2,Scenario A,3,6.21,96.83,2.31,3.76,60.5,OK
2,Scenario B,1,56.66,28.38,7.35,49.0,86.5,OK
2,Scenario B,2,56.56,28.43,7.64,48.58,85.9,OK
2,Scenario B,3,57.18,28.12,7.57,49.29,86.2,OK
2,Scenario C,1,6.34,94.88,2.36,3.84,60.6,OK
2,Scenario C,2,6.16,97.65,2.32,3.69,60.0,OK
2,Scenario C,3,6.32,95.09,2.37,3.81,60.2,OK
4,Scenario B,1,57.28,28.07,8.01,48.92,85.4,OK
4,Scenario B,2,57.17,28.12,7.62,49.2,86.1,OK
4,Scenario B,3,56.58,28.41,7.58,48.65,86.0,OK
8,Scenario B,1,57.49,27.97,7.71,49.43,86.0,OK
8,Scenario B,2,57.95,27.74,7.6,50.0,86.3,OK
8,Scenario B,3,57.54,27.94,7.65,49.53,86.1,OK
4,Scenario A,1,,,,,,ERRO_SHM
4,Scenario A,2,,,,,,ERRO_SHM
4,Scenario A,3,,,,,,ERRO_SHM
4,Scenario C,1,,,,,,ERRO_SHM
4,Scenario C,2,,,,,,ERRO_SHM
4,Scenario C,3,,,,,,ERRO_SHM
8,Scenario A,1,,,,,,ERRO_SHM
8,Scenario A,2,,,,,,ERRO_SHM
8,Scenario A,3,,,,,,ERRO_SHM
8,Scenario C,1,,,,,,ERRO_SHM
8,Scenario C,2,,,,,,ERRO_SHM
8,Scenario C,3,,,,,,ERRO_SHM
